county,station name,name,height(m),easting,northing,latitude,longitude,open year,close year,hourly data url,daily data url,monthly data url
Galway,1875,ATHENRY,40,147659,226804,53.28917,-8.78556,2010,(null),https://cli.fusio.net/cli/climate_data/webdata/hly1875.csv,https://cli.fusio.net/cli/climate_data/webdata/dly1875.csv,https://cli.fusio.net/cli/climate_data/webdata/mly1875.csv
Cavan,675,BALLYHAISE,78,245200,311600,54.05139,-7.30972,2003,(null),https://cli.fusio.net/cli/climate_data/webdata/hly675.csv,https://cli.fusio.net/cli/climate_data/webdata/dly675.csv,https://cli.fusio.net/cli/climate_data/webdata/mly675.csv
Mayo,2375,BELMULLET,9,69170,332818,54.2275,-10.00694,2012,(null),https://cli.fusio.net/cli/climate_data/webdata/hly2375.csv,https://cli.fusio.net/cli/climate_data/webdata/dly2375.csv,https://cli.fusio.net/cli/climate_data/webdata/mly2375.csv
Dublin,3723,CASEMENT,91,304100,229500,53.30556,-6.43889,1944,(null),https://cli.fusio.net/cli/climate_data/webdata/hly3723.csv,https://cli.fusio.net/cli/climate_data/webdata/dly3723.csv,https://cli.fusio.net/cli/climate_data/webdata/mly3723.csv
Mayo,2175,CLAREMORRIS,68,134523,273883,53.71083,-8.9925,2010,(null),https://cli.fusio.net/cli/climate_data/webdata/hly2175.csv,https://cli.fusio.net/cli/climate_data/webdata/dly2175.csv,https://cli.fusio.net/cli/climate_data/webdata/mly2175.csv
Cork,3904,CORK AIRPORT,155,166500,66200,51.84722,-8.48611,1961,(null),https://cli.fusio.net/cli/climate_data/webdata/hly3904.csv,https://cli.fusio.net/cli/climate_data/webdata/dly3904.csv,https://cli.fusio.net/cli/climate_data/webdata/mly3904.csv
Dublin,532,DUBLIN AIRPORT,71,316900,243400,53.42778,-6.24083,1939,(null),https://cli.fusio.net/cli/climate_data/webdata/hly532.csv,https://cli.fusio.net/cli/climate_data/webdata/dly532.csv,https://cli.fusio.net/cli/climate_data/webdata/mly532.csv
Meath,1375,DUNSANY,83,288898,252606,53.51583,-6.66,2006,(null),https://cli.fusio.net/cli/climate_data/webdata/hly1375.csv,https://cli.fusio.net/cli/climate_data/webdata/dly1375.csv,https://cli.fusio.net/cli/climate_data/webdata/mly1375.csv
Donegal,2075,FINNER,33,184300,360635,54.49389,-8.24306,2010,(null),https://cli.fusio.net/cli/climate_data/webdata/hly2075.csv,https://cli.fusio.net/cli/climate_data/webdata/dly2075.csv,https://cli.fusio.net/cli/climate_data/webdata/mly2075.csv
Tipperary,1475,GURTEEN,75,199466,198376,53.035,-8.00861,2008,(null),https://cli.fusio.net/cli/climate_data/webdata/hly1475.csv,https://cli.fusio.net/cli/climate_data/webdata/dly1475.csv,https://cli.fusio.net/cli/climate_data/webdata/mly1475.csv
Wexford,1775,JOHNSTOWN CASTLE 2,62,302631,117200,52.29778,-6.49667,2009,(null),https://cli.fusio.net/cli/climate_data/webdata/hly1775.csv,https://cli.fusio.net/cli/climate_data/webdata/dly1775.csv,https://cli.fusio.net/cli/climate_data/webdata/mly1775.csv
Mayo,4935,KNOCK AIRPORT,201,146783,296363,53.90611,-8.81722,1986,(null),https://cli.fusio.net/cli/climate_data/webdata/hly4935.csv,https://cli.fusio.net/cli/climate_data/webdata/dly4935.csv,https://cli.fusio.net/cli/climate_data/webdata/mly4935.csv
Galway,275,MACE HEAD,21,73400,232276,53.32583,-9.90083,2003,(null),https://cli.fusio.net/cli/climate_data/webdata/hly275.csv,https://cli.fusio.net/cli/climate_data/webdata/dly275.csv,https://cli.fusio.net/cli/climate_data/webdata/mly275.csv
Donegal,1575,MALIN HEAD,20,241939,458562,55.37194,-7.33917,2009,(null),https://cli.fusio.net/cli/climate_data/webdata/hly1575.csv,https://cli.fusio.net/cli/climate_data/webdata/dly1575.csv,https://cli.fusio.net/cli/climate_data/webdata/mly1575.csv
Sligo,1275,MARKREE,34,169860,325582,54.175,-8.45556,2005,(null),https://cli.fusio.net/cli/climate_data/webdata/hly1275.csv,https://cli.fusio.net/cli/climate_data/webdata/dly1275.csv,https://cli.fusio.net/cli/climate_data/webdata/mly1275.csv
Cork,575,MOORE PARK,46,181900,101400,52.16389,-8.26389,2003,(null),https://cli.fusio.net/cli/climate_data/webdata/hly575.csv,https://cli.fusio.net/cli/climate_data/webdata/dly575.csv,https://cli.fusio.net/cli/climate_data/webdata/mly575.csv
Roscommon,1975,MT DILLON,39,201306,275240,53.72694,-7.98083,2003,(null),https://cli.fusio.net/cli/climate_data/webdata/hly1975.csv,https://cli.fusio.net/cli/climate_data/webdata/dly1975.csv,https://cli.fusio.net/cli/climate_data/webdata/mly1975.csv
Westmeath,875,MULLINGAR,101,243000,254300,53.53722,-7.36222,2002,(null),https://cli.fusio.net/cli/climate_data/webdata/hly875.csv,https://cli.fusio.net/cli/climate_data/webdata/dly875.csv,https://cli.fusio.net/cli/climate_data/webdata/mly875.csv
Mayo,1175,NEWPORT,22,96731,298267,53.92361,-9.57278,2005,(null),https://cli.fusio.net/cli/climate_data/webdata/hly1175.csv,https://cli.fusio.net/cli/climate_data/webdata/dly1175.csv,https://cli.fusio.net/cli/climate_data/webdata/mly1175.csv
Carlow,375,OAK PARK,62,273000,179500,52.86111,-6.91528,2003,(null),https://cli.fusio.net/cli/climate_data/webdata/hly375.csv,https://cli.fusio.net/cli/climate_data/webdata/dly375.csv,https://cli.fusio.net/cli/climate_data/webdata/mly375.csv
Dublin,175,PHOENIX PARK,48,309915,236070,53.36361,-6.34972,2003,(null),https://cli.fusio.net/cli/climate_data/webdata/hly175.csv,https://cli.fusio.net/cli/climate_data/webdata/dly175.csv,https://cli.fusio.net/cli/climate_data/webdata/mly175.csv
Cork,1075,ROCHES POINT,40,182779,60625,51.79306,-8.24444,2004,(null),https://cli.fusio.net/cli/climate_data/webdata/hly1075.csv,https://cli.fusio.net/cli/climate_data/webdata/dly1075.csv,https://cli.fusio.net/cli/climate_data/webdata/mly1075.csv
Clare,518,SHANNON AIRPORT,15,137900,160300,52.69028,-8.91806,1937,(null),https://cli.fusio.net/cli/climate_data/webdata/hly518.csv,https://cli.fusio.net/cli/climate_data/webdata/dly518.csv,https://cli.fusio.net/cli/climate_data/webdata/mly518.csv
Cork,775,SherkinIsland,21,100781,25801,51.47639,-9.42778,2004,(null),https://cli.fusio.net/cli/climate_data/webdata/hly775.csv,https://cli.fusio.net/cli/climate_data/webdata/dly775.csv,https://cli.fusio.net/cli/climate_data/webdata/mly775.csv
Kerry,2275,VALENTIA OBSERVATORY,24,45940,78555,51.93833,-10.24083,2010,(null),https://cli.fusio.net/cli/climate_data/webdata/hly2275.csv,https://cli.fusio.net/cli/climate_data/webdata/dly2275.csv,https://cli.fusio.net/cli/climate_data/webdata/mly2275.csv
